eksponat,leto,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,,
Galaksija,1972,,,,x,x,x,x,,x,x,x,x
Galaksija,1973,x,x,x,x,x,x,x,,x,x,x,x
Galaksija,1974,x,x,x,x,x,x,x,x,x,x,x,x
Galaksija,1975,,x,x,x,x,x,x,x,x,,x,x
Galaksija,1976,x,,x,x,x,x,x,x,x,,x,x
Galaksija,1977,x,x,x,x,x,,,x,x,x,x,
Galaksija,1978,x,,,,,,x,x,x,x,x,
Galaksija,1979,x,x,x,x,x,,,,x,x,x,x
Galaksija,1980,x,x,,x,,x,x,x,x,x,x,x
Galaksija,1981,x,x,x,x,,x,x,,,,,
Galaksija,1982,,x,x,x,,x,,,,,,
Galaksija,1983,,x,x,x,x,x,x,,x,,x,
Galaksija,1984,x,x,x,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Moj mikro,1984,,,,,,x,x,,x,x,x,x
Moj mikro,1985,x,x,x,x,x,x,x,x,x,x,x,x
Moj mikro,1986,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,1987,x,x,x,,x,x,x,,x,x,x,x
Moj mikro,1988,x,x,x,x,x,x,x,,x,,x,x
Moj mikro,1989,x,x,x,x,x,,,,,,,
Moj mikro,1990,,,,,,,,,,,,x
Moj mikro,1992,x,x,,x,x,x,x,,x,x,x,x
Moj mikro,1993,x,x,x,x,x,x,x,,x,,x,
Moj mikro,1994,x,,,,x,x,x,,x,x,x,x
Moj mikro,1995,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,1996,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,1997,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,1998,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,1998,x,x,,x,x,x,x,,x,,,x
Moj mikro,1999,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2000,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2001,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2002,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2003,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2004,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2005,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2006,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2007,x,x,x,x,x,x,x,,x,x,x,
Moj mikro,2008,,x,x,x,x,x,,,x,x,x,x
Moj mikro,2009,x,x,,,,x,,,,x,x,x
Moj mikro,2012,x,x,x,x,x,x,x,,x,x,x,x
Moj mikro,2013,x,x,x,x,x,x,x,,x,x,,
,,,,,,,,,,,,,
ALEF,,,,,,,,,,,,,
,,,,,,,,,,,,,
Science fiction,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Računari,1984,,,,,,,,,,,,
Računari,1985,,x,,x,,x,,x,,x,x,x
Računari,1986,x,x,x,x,x,x,x,x,x,x,x,x
Računari,1987,x,x,x,x,x,,,,x,x,x,x
Računari,1988,x,x,x,,,,,,,,,
Računari,1989,,x,,,,x,x,,x,,x,x
Računari,1990,x,x,x,x,x,x,,,,,,
Računari,1991,,,,x,x,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Svet kompjutera,1984,,,,,,,,,,,x,x
Svet kompjutera,1985,,,,x,x,x,x,x,x,x,x,x
Svet kompjutera,1986,x,x,x,x,,,x,,x,x,,x
Svet kompjutera,1987,x,,x,,x,x,,,,x,,
Svet kompjutera,1990,,,,,,,x,,x,,,
Svet kompjutera,1991,x,x,,x,,x,x,,x,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BIT,1984,,,,,,,x,,x,x,,x
BIT,1985,,,,,,x,x,,x,x,,x
,,,,,,,,,,,,,
,,,,,,,,,,,,,
WIN.INI,1995,,,,,,,,,x,,,x
WIN.INI,1998,,,,,,,,,,x,,
WIN.INI,1999,x,x,x,x,x,x,x,x,x,x,x,x
WIN.INI,2000,x,x,x,x,x,x,x,x,x,x,x,
WIN.INI,2001,x,x,x,x,x,x,x,x,x,x,x,x
WIN.INI,2002,x,x,x,x,x,x,x,x,x,x,,
,,,,,,,,,,,,,
Monitor,1991,,,,,,,,,,,,
Monitor,1992,,,x,,,x,,,x,x,x,x
Monitor,1993,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,1994,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,1995,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,1996,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,1997,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,1998,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,1999,,x,x,x,x,x,x,x,x,x,x,x
Monitor,2000,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,2001,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,2002,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,2003,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,2004,x,x,x,x,x,x,x,x,x,x,x,x
Monitor,2005,x,x,x,x,x,x,x,x,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Programer,1993,,,,,,,,,,x,x,x
Programer,1994,x,x,x,x,,x,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SOFTware power,1997,,,x,x,x,x,,,x,,,
SOFTware power,1998,,x,,x,,,,,x,,,
SOFTware power,1999,,,,,,,,,x,,,
SOFTware power,2000,,,,,,,,x,,,,x
SOFTware power,2001,,,,,,,,,,x,,
SOFTware power,2002,,,,,,x,,x,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PCgamer,1997,,,,,,,,,,x,,
PCgamer,1998,,,,,,,,,,x,,
PCgamer,1999,,,,,x,,,,,,,
PCgamer,2000,,,,,,,,,x,,,
PCgamer,2001,,,,x,,,,,,,,
,,,,,,,,,,,,,
VIDI,1998,,,,,,,,,,,,
,,,,,,,,,,,,,
Connect,2001,,,,,,x,,,,,,
Connect,2002,,,,,,,,x,x,,,
Connect,2004,,,,,,,,,,,,x
,,,,,,,,,,,,,
Joker,1992,,,,,x,,,,,,,
Joker,1994,,,,,x,x,x,,,,,x
Joker,1995,x,,,,,x,,,,x,,x
Joker,1996,,,x,,,x,,x,,,,
Joker,1997,,,,,x,,,,,,,
Joker,1998,,,,x,,x,,,,,x,
Joker,1999,x,x,,x,,,,,x,,,
Joker,2000,,,,,,x,,x,,,,x
Joker,2001,,,,,x,x,x,x,x,x,x,x
Joker,2002,x,x,x,x,x,x,x,x,x,x,,
Joker,2010,,,,,,,,,,,,x
Joker,2011,x,,,,,,,x,x,x,x,x
Joker,2012,,x,x,x,,x,,x,,,,
Joker,2013,,,,,,,,,,,,
Joker,2014,,,,,,,,x,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sinclair user,1984,,,,,,,,x,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PC & mediji,1995,,,,,,,,,,x,x,x
PC & mediji,1996,x,x,x,x,x,x,x,,x,x,x,x
PC & mediji,1997,x,x,x,x,x,x,x,,x,x,,x
PC & mediji,1998,x,x,x,x,x,x,x,,x,x,x,x
PC & mediji,1999,x,x,x,x,x,x,x,,x,x,x,x
PC & mediji,2000,x,x,x,x,x,x,x,,x,x,x,x
PC & mediji,2001,x,x,x,x,x,x,x,,x,x,x,x
PC & mediji,2002,x,x,x,x,x,x,x,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ESC,2002,,,,,,,,,,,,
ESC,2003,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Megazin,2005,,,,,,,,x,,,,
,,,,,,,,,,,,,
Monitor pro,2010,,,,,,,,,,,,
Monitor pro,2011,,,,,,,,,,,,
Monitor pro,2012,,,,,,,,,,,,
Monitor pro,2013,,,,,,,,,,,,
Monitor pro,2014,,,,x,,,,,,,,
Monitor pro,2015,,,,,,,,,,,,
Monitor pro,2016,,,,,,,,,,,,
,,,,,,,,,,,,,
Avtomatika,1960,,,,,,,,,,,,
Avtomatika,1961,,,,x,,,x,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Joker PDF,1992,,,,,x,,,,,,,
Joker PDF,1993,,,,,,,,,x,x,x,x
Joker PDF,1994,x,x,x,x,x,x,x,,x,x,,
Joker PDF,1995,,,,,,,,,,,,
Joker PDF,1996,,,,,,,,,,,,
Joker PDF,1997,,,,,,,,,,,,
Joker PDF,1998,,,,,,,,,,,,
Joker PDF,1999,,,,,,,,,,,,
Joker PDF,2000,,,,,,,,,,,,
Joker PDF,2001,,,,,,,,,,,,
Joker PDF,2002,,,,,,,,,,,,
Joker PDF,2003,,,,,,,,,,,,
Joker PDF,2004,,,,,,,,,,,,
Joker PDF,2005,,,,,,,,,,,,
Joker PDF,2006,x,x,x,x,x,x,x,x,x,x,x,x
